Playback2.acq
Graph Created on: 2024-02-26 21:48:18.248
Recording on: 2024-02-26 21:49:05.654
2.48756 msec/sample
5 channels
Count
number
ECG
µV
PPG
µV
EDA
µS
Temperature
C
sec,CH1,CH2,CH3,CH4,CH5,
,8022 samples,8022 samples,8022 samples,8022 samples,8022 samples,
10.1244,74,4167,1821.9,1.53115,29.5041,
10.1269,75,4167,1822.41,1.53115,29.5041,
10.1294,75,4167,1815.54,1.53115,29.5041,
10.1318,75,4167,1816.31,1.53115,29.5041,
10.1343,75,4167,1820.38,1.53115,29.5041,
10.1368,75,4167,1811.73,1.53115,29.5041,
10.1393,75,4167,1816.31,1.53115,29.5041,
10.1418,75,4167,1813.25,1.53115,29.5041,
10.1443,75,4167,1816.31,1.53115,29.5041,
10.1468,75,4167,1809.95,1.53115,29.5041,
10.1493,75,4167,1807.66,1.53115,29.5041,
10.1517,75,4167,1803.84,1.53115,29.5041,
10.1542,75,4167,1803.84,1.53115,29.5041,
10.1567,75,4167,1800.28,1.53115,29.5041,
10.1592,75,4167,1795.7,1.53115,29.5041,
10.1617,75,4167,1795.45,1.53115,29.5041,
10.1642,75,4167,1802.32,1.53115,29.5041,
10.1667,75,4167,1804.61,1.53115,29.5041,
10.1692,75,4167,1801.55,1.53115,29.5041,
10.1716,75,4167,1797.99,1.53115,29.5041,
10.1741,75,4167,1800.03,1.53115,29.5041,
10.1766,75,4167,1799.77,1.53115,29.5094,
10.1791,75,4167,1791.38,1.53115,29.5094,
10.1816,75,4167,1791.63,1.53115,29.5094,
10.1841,75,4167,1789.09,1.53115,29.5094,
10.1866,75,4167,1787.31,1.53115,29.5094,
10.1891,75,4167,1793.41,1.53115,29.5094,
10.1915,75,4167,1791.63,1.53115,29.5094,
10.194,75,4167,1791.89,1.53115,29.5094,
10.1965,75,4167,1790.11,1.53115,29.5094,
10.199,75,4167,1790.11,1.53115,29.5094,
10.2015,75,4167,1789.35,1.53115,29.5094,
10.204,75,4167,1785.78,1.53115,29.5094,
10.2065,75,4167,1787.06,1.53115,29.5094,
10.209,75,4167,1786.8,1.53115,29.5094,
10.2114,75,4167,1783.5,1.53115,29.5094,
10.2139,75,4167,1784.51,1.53115,29.5094,
10.2164,75,4167,1779.68,1.53115,29.5094,
10.2189,75,4167,1775.61,1.53115,29.5094,
10.2214,75,4167,1773.83,1.53115,29.5094,
10.2239,75,4167,1779.43,1.53115,29.5094,
10.2264,76,4167,1779.68,1.53115,29.5146,
10.2289,76,4167,1776.88,1.53115,29.5146,
10.2313,76,4167,1777.14,1.53115,29.5146,
10.2338,76,4167,1777.65,1.53115,29.5146,
10.2363,76,4167,1771.8,1.53115,29.5146,
10.2388,76,4167,1773.32,1.53115,29.5146,
10.2413,76,4167,1776.63,1.53115,29.5146,
10.2438,76,4167,1777.65,1.53115,29.5146,
10.2463,76,4167,1778.92,1.53115,29.5146,
10.2488,76,4167,1781.21,1.53115,29.5146,
10.2512,76,4167,1773.58,1.53115,29.5146,
10.2537,76,4167,1768.23,1.53115,29.5146,
10.2562,76,4167,1768.23,1.53115,29.5146,
10.2587,76,4167,1770.27,1.53115,29.5146,
10.2612,76,4167,1766.45,1.53115,29.5146,
10.2637,76,4167,1768.49,1.53115,29.5146,
10.2662,76,4167,1762.38,1.53115,29.5146,
10.2687,76,4167,1764.16,1.53115,29.5146,
10.2711,76,4167,1767.47,1.53115,29.5146,
10.2736,76,4167,1769,1.53115,29.5146,
10.2761,76,4167,1766.71,1.53152,29.5094,
10.2786,76,4167,1771.54,1.53152,29.5094,
10.2811,76,4167,1767.22,1.53152,29.5094,
10.2836,76,4167,1769.76,1.53152,29.5094,
10.2861,76,4167,1773.32,1.53152,29.5094,
10.2886,76,4167,1773.83,1.53152,29.5094,
10.291,76,4167,1768.74,1.53152,29.5094,
10.2935,76,4167,1765.95,1.53152,29.5094,
10.296,76,4167,1766.2,1.53152,29.5094,
10.2985,76,4167,1766.2,1.53152,29.5094,
10.301,76,4167,1767.73,1.53152,29.5094,
10.3035,76,4167,1774.34,1.53152,29.5094,
10.306,76,4167,1769.25,1.53152,29.5094,
10.3085,76,4167,1769.51,1.53152,29.5094,
10.3109,76,4167,1770.52,1.53152,29.5094,
10.3134,76,4167,1775.1,1.53152,29.5094,
10.3159,76,4167,1767.98,1.53152,29.5094,
10.3184,76,4167,1767.47,1.53152,29.5094,
10.3209,76,4167,1761.88,1.53152,29.5094,
10.3234,76,4167,1766.71,1.53152,29.5094,
10.3259,77,4167,1760.6,1.53152,29.5146,
10.3284,77,4167,1759.84,1.53152,29.5146,
